,Date,Daily Total Impressions,Daily Organic impressions,Daily Paid Impressions,Daily Viral impressions,Daily Total Impressions of your posts,Daily Organic impressions of your posts,Daily Paid impressions of your posts,Daily Viral Impressions Of Your Posts,Day,Day of the Week,Week,Month,Year
0,2021-03-28,10509,99,10385,16,10484,99,10385,16,28,Sunday,12,March,2021
1,2021-03-27,8480,86,8381,23,8467,86,8381,23,27,Saturday,12,March,2021
2,2021-03-26,4245,320,3906,31,4226,320,3906,31,26,Friday,12,March,2021
3,2021-03-25,7306,171,7113,40,7284,171,7113,40,25,Thursday,12,March,2021
4,2021-03-24,7994,290,7687,34,7977,290,7687,34,24,Wednesday,12,March,2021
5,2021-03-23,8547,280,8239,47,8519,280,8239,47,23,Tuesday,12,March,2021
6,2021-03-22,8201,29,8166,19,8195,29,8166,19,22,Monday,12,March,2021
7,2021-03-21,9857,66,9779,16,9845,66,9779,16,21,Sunday,11,March,2021
8,2021-03-20,7160,100,7042,18,7142,100,7042,18,20,Saturday,11,March,2021
9,2021-03-19,3708,76,3625,28,3701,76,3625,28,19,Friday,11,March,2021
10,2021-03-18,5960,44,5901,24,5945,44,5901,24,18,Thursday,11,March,2021
11,2021-03-17,6319,138,6164,43,6302,138,6164,43,17,Wednesday,11,March,2021
12,2021-03-16,6452,445,5984,67,6429,445,5984,67,16,Tuesday,11,March,2021
13,2021-03-15,3007,411,2562,46,2973,411,2562,46,15,Monday,11,March,2021
14,2021-03-14,101,96,0,29,96,96,0,29,14,Sunday,10,March,2021
15,2021-03-13,132,127,0,43,127,127,0,43,13,Saturday,10,March,2021
16,2021-03-12,307,293,0,45,293,293,0,45,12,Friday,10,March,2021
17,2021-03-11,366,350,0,14,350,350,0,14,11,Thursday,10,March,2021
18,2021-03-10,94,82,0,34,82,82,0,34,10,Wednesday,10,March,2021
19,2021-03-09,38,35,0,30,35,35,0,30,9,Tuesday,10,March,2021
20,2021-03-08,99,93,0,17,93,93,0,17,8,Monday,10,March,2021
21,2021-03-07,47,47,0,21,47,47,0,21,7,Sunday,9,March,2021
22,2021-03-06,72,69,0,24,69,69,0,24,6,Saturday,9,March,2021
23,2021-03-05,295,290,0,39,290,290,0,39,5,Friday,9,March,2021
24,2021-03-04,302,292,0,17,292,292,0,17,4,Thursday,9,March,2021
25,2021-03-03,519,504,0,60,504,504,0,60,3,Wednesday,9,March,2021
26,2021-03-02,582,550,0,126,550,550,0,126,2,Tuesday,9,March,2021
27,2021-03-01,311,300,0,27,300,300,0,27,1,Monday,9,March,2021
28,2021-02-28,31,28,0,19,28,28,0,19,28,Sunday,8,February,2021
29,2021-02-27,58,56,0,32,56,56,0,32,27,Saturday,8,February,2021
30,2021-02-26,118,112,0,90,112,112,0,90,26,Friday,8,February,2021
31,2021-02-25,83,81,0,64,81,81,0,64,25,Thursday,8,February,2021
32,2021-02-24,192,180,0,72,180,180,0,72,24,Wednesday,8,February,2021
33,2021-02-23,374,362,0,67,362,362,0,67,23,Tuesday,8,February,2021
34,2021-02-22,746,726,0,234,726,726,0,234,22,Monday,8,February,2021
35,2021-02-21,49,48,0,20,48,48,0,20,21,Sunday,7,February,2021
36,2021-02-20,60,59,0,33,59,59,0,33,20,Saturday,7,February,2021
37,2021-02-19,340,328,0,36,328,328,0,36,19,Friday,7,February,2021
38,2021-02-18,40,32,0,28,32,32,0,28,18,Thursday,7,February,2021
39,2021-02-17,22,21,0,21,21,21,0,21,17,Wednesday,7,February,2021
40,2021-02-16,36,30,0,21,30,30,0,21,16,Tuesday,7,February,2021
41,2021-02-15,101,93,0,23,93,93,0,23,15,Monday,7,February,2021
42,2021-02-14,75,68,0,26,68,68,0,26,14,Sunday,6,February,2021
43,2021-02-13,128,123,0,55,123,123,0,55,13,Saturday,6,February,2021
