Date,Page Likes,Amount,Lifetime Total Likes
2021-03-28,Daily New Likes,0,1259
2021-03-27,Daily New Likes,0,1259
2021-03-26,Daily New Likes,0,1259
2021-03-25,Daily New Likes,0,1259
2021-03-24,Daily New Likes,0,1259
2021-03-23,Daily New Likes,1,1259
2021-03-22,Daily New Likes,1,1258
2021-03-21,Daily New Likes,1,1257
2021-03-20,Daily New Likes,0,1256
2021-03-19,Daily New Likes,2,1256
2021-03-18,Daily New Likes,0,1253
2021-03-17,Daily New Likes,1,1253
2021-03-16,Daily New Likes,0,1252
2021-03-15,Daily New Likes,2,1252
2021-03-14,Daily New Likes,1,1249
2021-03-13,Daily New Likes,0,1248
2021-03-12,Daily New Likes,0,1248
2021-03-11,Daily New Likes,0,1248
2021-03-10,Daily New Likes,0,1247
2021-03-09,Daily New Likes,0,1247
2021-03-08,Daily New Likes,0,1247
2021-03-07,Daily New Likes,0,1247
2021-03-06,Daily New Likes,0,1247
2021-03-05,Daily New Likes,0,1246
2021-03-04,Daily New Likes,0,1247
2021-03-03,Daily New Likes,1,1247
2021-03-02,Daily New Likes,2,1247
2021-03-01,Daily New Likes,0,1244
2021-02-28,Daily New Likes,0,1245
2021-02-27,Daily New Likes,0,1246
2021-02-26,Daily New Likes,0,1246
2021-02-25,Daily New Likes,0,1247
2021-02-24,Daily New Likes,0,1247
2021-02-23,Daily New Likes,0,1247
2021-02-22,Daily New Likes,0,1247
2021-02-21,Daily New Likes,0,1247
2021-02-20,Daily New Likes,1,1247
2021-02-19,Daily New Likes,0,1246
2021-02-18,Daily New Likes,0,1246
2021-02-17,Daily New Likes,0,1246
2021-02-16,Daily New Likes,0,1246
2021-02-15,Daily New Likes,2,1246
2021-02-14,Daily New Likes,0,1244
2021-02-13,Daily New Likes,0,1245
2021-02-12,Daily New Likes,0,1245
2021-02-11,Daily New Likes,0,1245
2021-02-10,Daily New Likes,0,1245
2021-02-09,Daily New Likes,1,1245
2021-02-08,Daily New Likes,1,1244
2021-02-07,Daily New Likes,1,1243
2021-02-06,Daily New Likes,0,1242
2021-02-05,Daily New Likes,0,1242
2021-02-04,Daily New Likes,0,1242
2021-02-03,Daily New Likes,0,1242
2021-02-02,Daily New Likes,0,1241
2021-02-01,Daily New Likes,0,1241
2021-01-31,Daily New Likes,0,1241
2021-01-30,Daily New Likes,0,1241
2021-01-29,Daily New Likes,0,1242
2021-01-28,Daily New Likes,0,1242
2021-01-27,Daily New Likes,2,1242
2021-01-26,Daily New Likes,1,1241
2021-01-25,Daily New Likes,1,1240
2021-01-24,Daily New Likes,0,1239
2021-01-23,Daily New Likes,3,1239
2021-01-22,Daily New Likes,0,1236
2021-01-21,Daily New Likes,1,1236
2021-01-20,Daily New Likes,1,1234
2021-01-19,Daily New Likes,1,1233
2021-01-18,Daily New Likes,0,1232
2021-01-17,Daily New Likes,0,1231
2021-01-16,Daily New Likes,0,1231
2021-01-15,Daily New Likes,0,1231
2021-01-14,Daily New Likes,2,1231
2021-01-13,Daily New Likes,2,1228
2021-01-12,Daily New Likes,1,1224
2021-01-11,Daily New Likes,0,1224
2021-01-10,Daily New Likes,0,1224
2021-01-09,Daily New Likes,0,1224
2021-01-08,Daily New Likes,0,1224
2021-01-07,Daily New Likes,0,1225
2021-01-06,Daily New Likes,0,1226
2021-01-05,Daily New Likes,0,1227
2021-01-04,Daily New Likes,1,1227
2021-01-03,Daily New Likes,0,1225
2021-01-02,Daily New Likes,1,1225
2021-01-01,Daily New Likes,0,1224
2020-12-31,Daily New Likes,0,1224
2020-12-30,Daily New Likes,0,1224
2020-12-29,Daily New Likes,1,1224
2020-12-28,Daily New Likes,0,1223
2020-12-27,Daily New Likes,0,1223
2020-12-26,Daily New Likes,0,1223
2020-12-25,Daily New Likes,0,1223
2020-12-24,Daily New Likes,0,1222
2020-12-23,Daily New Likes,0,1222
2020-12-22,Daily New Likes,0,1223
2020-12-21,Daily New Likes,0,1223
2020-12-20,Daily New Likes,0,1223
2020-12-19,Daily New Likes,0,1223
2020-12-18,Daily New Likes,1,1223
2020-12-17,Daily New Likes,1,1222
2020-12-16,Daily New Likes,3,1221
2020-12-15,Daily New Likes,2,1215
2020-12-14,Daily New Likes,11,1213
2020-12-13,Daily New Likes,1,1202
2020-12-12,Daily New Likes,0,1201
2020-12-11,Daily New Likes,0,1201
