,Date,Daily Total Reach,Daily Organic Reach,Daily Paid Reach,Daily Viral Reach,Daily Reach Of Page Posts,Daily Organic Reach of Page posts,Daily Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Day,Day of the Week,Week,Month,Year
0,2021-03-28,10267,41,10221,16,10267,41,10221,16,28,Sunday,12,March,2021
1,2021-03-27,8199,61,8145,19,8199,61,8145,19,27,Saturday,12,March,2021
2,2021-03-26,3815,246,3578,28,3815,246,3578,28,26,Friday,12,March,2021
3,2021-03-25,6859,91,6744,38,6859,91,6744,38,25,Thursday,12,March,2021
4,2021-03-24,7567,230,7413,31,7567,230,7413,31,24,Wednesday,12,March,2021
5,2021-03-23,7864,188,7673,36,7864,188,7673,36,23,Tuesday,12,March,2021
6,2021-03-22,7656,21,7636,18,7656,21,7636,18,22,Monday,12,March,2021
7,2021-03-21,9789,20,9785,12,9789,20,9785,12,21,Sunday,11,March,2021
8,2021-03-20,6639,24,6624,15,6639,24,6624,15,20,Saturday,11,March,2021
9,2021-03-19,3532,38,3504,20,3532,38,3504,20,19,Friday,11,March,2021
10,2021-03-18,5852,32,5828,20,5852,32,5828,20,18,Thursday,11,March,2021
11,2021-03-17,5944,97,5855,38,5944,97,5855,38,17,Wednesday,11,March,2021
12,2021-03-16,5648,355,5345,55,5648,355,5345,55,16,Tuesday,11,March,2021
13,2021-03-15,2823,350,2470,41,2823,350,2470,41,15,Monday,11,March,2021
14,2021-03-14,70,69,0,27,69,69,0,27,14,Sunday,10,March,2021
15,2021-03-13,66,66,0,30,66,66,0,30,13,Saturday,10,March,2021
16,2021-03-12,253,251,0,39,251,251,0,39,12,Friday,10,March,2021
17,2021-03-11,330,330,0,14,330,330,0,14,11,Thursday,10,March,2021
18,2021-03-10,26,25,0,21,25,25,0,21,10,Wednesday,10,March,2021
19,2021-03-09,26,26,0,25,26,26,0,25,9,Tuesday,10,March,2021
20,2021-03-08,27,26,0,17,26,26,0,17,8,Monday,10,March,2021
21,2021-03-07,36,36,0,18,36,36,0,18,7,Sunday,9,March,2021
22,2021-03-06,51,51,0,21,51,51,0,21,6,Saturday,9,March,2021
23,2021-03-05,243,242,0,35,242,242,0,35,5,Friday,9,March,2021
24,2021-03-04,239,239,0,16,239,239,0,16,4,Thursday,9,March,2021
25,2021-03-03,369,369,0,49,369,369,0,49,3,Wednesday,9,March,2021
26,2021-03-02,385,385,0,98,385,385,0,98,2,Tuesday,9,March,2021
27,2021-03-01,251,250,0,22,250,250,0,22,1,Monday,9,March,2021
28,2021-02-28,15,15,0,13,15,15,0,13,28,Sunday,8,February,2021
29,2021-02-27,32,32,0,25,32,32,0,25,27,Saturday,8,February,2021
30,2021-02-26,68,68,0,54,68,68,0,54,26,Friday,8,February,2021
31,2021-02-25,72,70,0,55,70,70,0,55,25,Thursday,8,February,2021
32,2021-02-24,135,134,0,68,134,134,0,68,24,Wednesday,8,February,2021
33,2021-02-23,341,340,0,65,340,340,0,65,23,Tuesday,8,February,2021
34,2021-02-22,605,604,0,224,604,604,0,224,22,Monday,8,February,2021
35,2021-02-21,34,34,0,17,34,34,0,17,21,Sunday,7,February,2021
36,2021-02-20,55,55,0,29,55,55,0,29,20,Saturday,7,February,2021
37,2021-02-19,300,299,0,34,299,299,0,34,19,Friday,7,February,2021
38,2021-02-18,29,29,0,25,29,29,0,25,18,Thursday,7,February,2021
39,2021-02-17,20,19,0,19,19,19,0,19,17,Wednesday,7,February,2021
40,2021-02-16,23,23,0,17,23,23,0,17,16,Tuesday,7,February,2021
41,2021-02-15,40,40,0,20,40,40,0,20,15,Monday,7,February,2021
42,2021-02-14,47,46,0,19,46,46,0,19,14,Sunday,6,February,2021
43,2021-02-13,110,108,0,49,108,108,0,49,13,Saturday,6,February,2021
44,2021-02-12,407,407,0,40,407,407,0,40,12,Friday,6,February,2021
45,2021-02-11,397,397,0,14,397,397,0,14,11,Thursday,6,February,2021
46,2021-02-10,62,62,0,26,62,62,0,26,10,Wednesday,6,February,2021
47,2021-02-09,327,327,0,16,327,327,0,16,9,Tuesday,6,February,2021
48,2021-02-08,18,18,0,16,18,18,0,16,8,Monday,6,February,2021
49,2021-02-07,16,16,0,14,16,16,0,14,7,Sunday,5,February,2021
50,2021-02-06,25,24,0,19,24,24,0,19,6,Saturday,5,February,2021
51,2021-02-05,22,21,0,19,21,21,0,19,5,Friday,5,February,2021
52,2021-02-04,47,46,0,17,46,46,0,17,4,Thursday,5,February,2021
53,2021-02-03,148,148,0,13,148,148,0,13,3,Wednesday,5,February,2021
54,2021-02-02,81,80,0,20,80,80,0,20,2,Tuesday,5,February,2021
55,2021-02-01,350,349,0,42,349,349,0,42,1,Monday,5,February,2021
56,2021-01-31,39,39,0,26,39,39,0,26,31,Sunday,4,January,2021
57,2021-01-30,73,73,0,42,73,73,0,42,30,Saturday,4,January,2021
58,2021-01-29,72,72,0,20,72,72,0,20,29,Friday,4,January,2021
59,2021-01-28,385,385,0,42,385,385,0,42,28,Thursday,4,January,2021
60,2021-01-27,440,440,0,110,440,440,0,110,27,Wednesday,4,January,2021
61,2021-01-26,571,571,0,132,571,571,0,132,26,Tuesday,4,January,2021
62,2021-01-25,490,490,0,72,490,490,0,72,25,Monday,4,January,2021
