,Date,Impressions,Reach,Followers,Day,Day of the Week,Week,Month,Year
0,2021-03-26,21,17,7042,26,Friday,12,March,2021
1,2021-03-25,8612,4869,7028,25,Thursday,12,March,2021
2,2021-03-24,12135,6410,7027,24,Wednesday,12,March,2021
3,2021-03-23,12722,6016,7016,23,Tuesday,12,March,2021
4,2021-03-22,13408,7680,6983,22,Monday,12,March,2021
5,2021-03-21,14425,10909,6960,21,Sunday,11,March,2021
6,2021-03-20,6370,4946,6953,20,Saturday,11,March,2021
7,2021-03-19,4549,2441,6947,19,Friday,11,March,2021
8,2021-03-18,6909,4880,6940,18,Thursday,11,March,2021
9,2021-03-17,8011,4560,6931,17,Wednesday,11,March,2021
10,2021-03-16,7229,4578,6922,16,Tuesday,11,March,2021
11,2021-03-15,9863,3880,6880,15,Monday,11,March,2021
12,2021-03-14,4644,2328,6882,14,Sunday,10,March,2021
13,2021-03-13,498,288,6887,13,Saturday,10,March,2021
14,2021-03-12,3569,1739,6879,12,Friday,10,March,2021
15,2021-03-11,5632,2057,6876,11,Thursday,10,March,2021
16,2021-03-10,4052,1578,6860,10,Wednesday,10,March,2021
17,2021-03-09,4238,1264,6838,9,Tuesday,10,March,2021
18,2021-03-08,2980,1601,6833,8,Monday,10,March,2021
19,2021-03-07,3588,1782,6838,7,Sunday,9,March,2021
20,2021-03-06,1508,576,6832,6,Saturday,9,March,2021
21,2021-03-05,4375,1630,6828,5,Friday,9,March,2021
22,2021-03-04,6240,2204,6824,4,Thursday,9,March,2021
23,2021-03-03,6426,2933,6805,3,Wednesday,9,March,2021
24,2021-03-02,3967,1501,6780,2,Tuesday,9,March,2021
25,2021-03-01,3707,1331,6762,1,Monday,9,March,2021
26,2021-02-28,1971,1476,6751,28,Sunday,8,February,2021
27,2021-02-27,4556,1364,6723,27,Saturday,8,February,2021
28,2021-02-26,6087,2942,6577,26,Friday,8,February,2021
29,2021-02-25,2502,788,6576,25,Thursday,8,February,2021
30,2021-02-24,2497,1452,6578,24,Wednesday,8,February,2021
31,2021-02-23,2619,1495,6574,23,Tuesday,8,February,2021
32,2021-02-22,5115,2525,6569,22,Monday,8,February,2021
33,2021-02-21,1942,1483,6568,21,Sunday,7,February,2021
34,2021-02-20,996,407,6561,20,Saturday,7,February,2021
35,2021-02-19,5812,1675,6559,19,Friday,7,February,2021
36,2021-02-18,7496,2158,6557,18,Thursday,7,February,2021
37,2021-02-17,5271,1639,6553,17,Wednesday,7,February,2021
38,2021-02-16,8853,1491,6554,16,Tuesday,7,February,2021
39,2021-02-15,2988,1558,6554,15,Monday,7,February,2021
40,2021-02-14,4224,1345,6550,14,Sunday,6,February,2021
41,2021-02-13,919,535,6551,13,Saturday,6,February,2021
42,2021-02-12,4418,2231,6551,12,Friday,6,February,2021
43,2021-02-11,5277,2723,6549,11,Thursday,6,February,2021
44,2021-02-10,378,211,6553,10,Wednesday,6,February,2021
45,2021-02-09,4866,1744,6552,9,Tuesday,6,February,2021
46,2021-02-08,4768,1765,6554,8,Monday,6,February,2021
47,2021-02-07,1899,1637,6559,7,Sunday,5,February,2021
48,2021-02-06,749,239,6558,6,Saturday,5,February,2021
49,2021-02-05,4201,912,6561,5,Friday,5,February,2021
50,2021-02-04,7119,1294,6555,4,Thursday,5,February,2021
51,2021-02-03,4211,1617,6555,3,Wednesday,5,February,2021
52,2021-02-02,3858,1558,6551,2,Tuesday,5,February,2021
53,2021-02-01,5030,1702,6553,1,Monday,5,February,2021
54,2021-01-31,1570,1297,6557,31,Sunday,4,January,2021
55,2021-01-30,314,177,6556,30,Saturday,4,January,2021
56,2021-01-29,5310,1034,6560,29,Friday,4,January,2021
57,2021-01-28,5085,2276,6551,28,Thursday,4,January,2021
58,2021-01-27,635,278,6550,27,Wednesday,4,January,2021
59,2021-01-26,3388,2068,6550,26,Tuesday,4,January,2021
60,2021-01-25,8333,1808,6553,25,Monday,4,January,2021
61,2021-01-24,3769,1770,6551,24,Sunday,3,January,2021
62,2021-01-23,2884,1573,6547,23,Saturday,3,January,2021
63,2021-01-22,2114,993,6537,22,Friday,3,January,2021
64,2021-01-21,4852,1845,6532,21,Thursday,3,January,2021
65,2021-01-20,5243,1650,6514,20,Wednesday,3,January,2021
66,2021-01-19,12517,1739,6512,19,Tuesday,3,January,2021
67,2021-01-18,3048,2082,6510,18,Monday,3,January,2021
68,2021-01-17,2716,2011,6504,17,Sunday,2,January,2021
69,2021-01-16,2160,1294,6498,16,Saturday,2,January,2021
70,2021-01-15,6131,2038,6501,15,Friday,2,January,2021
71,2021-01-14,4988,1630,6451,14,Thursday,2,January,2021
72,2021-01-13,4450,1742,6368,13,Wednesday,2,January,2021
73,2021-01-12,4554,1852,6374,12,Tuesday,2,January,2021
74,2021-01-11,8375,2335,6376,11,Monday,2,January,2021
75,2021-01-10,2083,1599,6379,10,Sunday,1,January,2021
76,2021-01-09,599,430,6386,9,Saturday,1,January,2021
77,2021-01-08,3180,1646,6388,8,Friday,1,January,2021
78,2021-01-07,7887,2325,6394,7,Thursday,1,January,2021
79,2021-01-06,3166,1593,6396,6,Wednesday,1,January,2021
80,2021-01-05,4016,2003,6402,5,Tuesday,1,January,2021
81,2021-01-04,2821,1675,6405,4,Monday,1,January,2021
82,2021-01-03,1857,1434,6402,3,Sunday,53,January,2021
83,2021-01-02,664,396,6405,2,Saturday,53,January,2021
84,2021-01-01,2346,1877,6420,1,Friday,53,January,2021
85,2020-12-31,1205,420,6423,31,Thursday,53,December,2020
86,2020-12-30,5273,1634,6435,30,Wednesday,53,December,2020
87,2020-12-29,3604,2738,6445,29,Tuesday,53,December,2020
88,2020-12-28,2283,1967,6448,28,Monday,53,December,2020
89,2020-12-27,2195,1865,6450,27,Sunday,52,December,2020
