Email Campaign Report
"Title:,""5 documentaires pour s'inspirer """
"Subject Line:,""6 documentaires pour s'inspirer 🙌"""
"Delivery Date/Time:,""Thu, Feb 18, 2021 11:47"""

Overall Stats
"Total Recipients:,""762"""
"Successful Deliveries:,""760"""
"Bounces:,""2 (0.3%)"""
"Times Forwarded:,""0"""
"Forwarded Opens:,""0"""
"Recipients Who Opened:,""568 (74.7%)"""
"Total Opens:,""1,288"""
"Last Open Date:,""3/26/21 10:55"""
"Recipients Who Clicked:,""30 (3.9%)"""
"Total Clicks:,""50"""
"Last Click Date:,""3/24/21 23:04"""
"Total Unsubs:,""8"""
"Total Abuse Complaints:,""1"""
"Times Liked on Facebook:,""0"""

Clicks by URL
"URL,""Total Clicks"""
"https://enquetedesens-lefilm.com/?mc_cid=67147fe60c&mc_eid=UNIQID,""18"",""12"""
"https://www.aujourdhuipourdemainfilm.com/?mc_cid=67147fe60c&mc_eid=UNIQID,""16"",""12"""
"https://www.instagram.com/refyld/?mc_cid=67147fe60c&mc_eid=UNIQID,""9"",""8"""
"http://www.documentarymania.com/player.php?title=How%20to%20Change%20the%20World&mc_cid=67147fe60c&mc_eid=UNIQID,""5"",""3"""
"https://www.imagotv.fr/?mc_cid=67147fe60c&mc_eid=UNIQID,""2"",""2"""
