Email Campaign Report
"Title:,""Hello de la team Refyld 👋"""
"Subject Line:,""Hello de la team Refyld 👋"""
"Delivery Date/Time:,""Thu, Feb 4, 2021 11:08"""

Overall Stats
"Total Recipients:,""766"""
"Successful Deliveries:,""761"""
"Bounces:,""5 (0.7%)"""
"Times Forwarded:,""0"""
"Forwarded Opens:,""0"""
"Recipients Who Opened:,""439 (57.7%)"""
"Total Opens:,""868"""
"Last Open Date:,""3/23/21 14:13"""
"Recipients Who Clicked:,""29 (3.8%)"""
"Total Clicks:,""32"""
"Last Click Date:,""2/7/21 17:23"""
"Total Unsubs:,""42"""
"Total Abuse Complaints:,""0"""
"Times Liked on Facebook:,""0"""

Clicks by URL
"URL,""Total Clicks"""
"https://www.instagram.com/refyld/?mc_cid=1059c540f3&mc_eid=UNIQID,""32"",""29"""
