Email Campaign Report
"Title:,""Semaine de lives + ZW Guide"""
"Subject Line:,""Rendez-vous demain 18h30 💫"""
"Delivery Date/Time:,""Mon, Mar 1, 2021 15:30"""

Overall Stats
"Total Recipients:,""771"""
"Successful Deliveries:,""769"""
"Bounces:,""2 (0.3%)"""
"Times Forwarded:,""0"""
"Forwarded Opens:,""0"""
"Recipients Who Opened:,""462 (60.1%)"""
"Total Opens:,""852"""
"Last Open Date:,""3/26/21 9:52"""
"Recipients Who Clicked:,""62 (8.1%)"""
"Total Clicks:,""82"""
"Last Click Date:,""3/17/21 9:51"""
"Total Unsubs:,""12"""
"Total Abuse Complaints:,""0"""
"Times Liked on Facebook:,""0"""

Clicks by URL
"URL,""Total Clicks"""
"https://cdn.shopify.com/s/files/1/0442/6219/5368/files/Le_Zero_Waste_Guide_par_Refyld.pdf?v=1614352467&mc_cid=70dd4d04b4&mc_eid=UNIQID,""61"",""56"""
"https://fr.ulule.com/kit-faire-samo/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""6"",""6"""
"https://www.instagram.com/refyld/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""6"",""6"""
"https://www.chicdesplantes.fr/fr/en-sachets/261-leau-vitale.html?mc_cid=70dd4d04b4&mc_eid=UNIQID,""5"",""5"""
"https://www.instagram.com/brandmemarie/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""3"",""3"""
"https://www.facebook.com/refyld/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""1"",""1"""
"https://www.linkedin.com/company/refyld/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""0"",""0"""
"https://www.pinterest.fr/refyld/_saved/?mc_cid=70dd4d04b4&mc_eid=UNIQID,""0"",""0"""
