Email Campaign Report
"Title:,""Single welcome email"""
"Subject Line:,""No Subject"""
"Delivery Date/Time:,""Fri, Mar 26, 2021 6:59"""

Overall Stats
"Total Recipients:,""996"""
"Successful Deliveries:,""994"""
"Bounces:,""2 (0.2%)"""
"Times Forwarded:,""0"""
"Forwarded Opens:,""0"""
"Recipients Who Opened:,""736 (74.0%)"""
"Total Opens:,""1,771"""
"Last Open Date:,""3/26/21 11:21"""
"Recipients Who Clicked:,""349 (35.1%)"""
"Total Clicks:,""0"""
"Last Click Date:,""1/1/70 1:00"""
"Total Unsubs:,""4"""
"Total Abuse Complaints:,""0"""
"Times Liked on Facebook:,""0"""

Clicks by URL
"URL,""Total Clicks"""
