"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
447103548968697_1378348392510870,https://www.facebook.com/refyld/posts/1378348392510870,"En ce 25 décembre, on vous souhaite de très Joyeuses Fêtes.🎄💫⁠
⁠
Nous sommes ravis que l'adhésion Refyld fasse partie de vos cadeaux de Noël pour certains.es d'entre vous et nous sommes très enthousiastes à l'idée d'entamer 2021 à vos côtés 🥰 ❤️ ⁠
⁠
#refyld #refyldisthenewrecycle #moinsmaismieux #consommationresponsable ⁠#laqualitepourtous⁠ ⁠
Magnifique photo de noël par @marion_cz ✨",Photo,,,"12/25/2020 02:45:49 AM"," ",350,350,0,378,378,0,7,1,1,0,0,297,276,0,0,7,0,0,0,0,0,0,0,0,0,0,6,,,6,,,1,,,,1,,,,,,,
447103548968697_1375454832800226,https://www.facebook.com/refyld/posts/1375454832800226,"Qu'est-ce qu'un ingrédient naturel ? Que veut dire &quot;d'origine naturelle&quot; ? Ou encore, qu'est-ce qu'un ingrédient biologique ? 👀🌿⁠ ⁠
⁠
Clairement, on peut vite se perdre quand on tente de comprendre l'univers de la cosmétique. On sait dit que nous ne devrions pas être les seuls dans ce cas là, (pas vrai?😅), alors on vous partage nos petites recherches à ce sujet.⁠
⁠
Depuis 2016, les catégories &quot;naturel&quot; et &quot;biologiques&quot; sont définies par une norme internationale et voilà ce qu'elle en dit :⁠
⁠
👉 Un ingrédient naturel : est issu de la nature, qu'il s'agisse de plantes, d'animaux, de levures ou de bactéries. Il peut être libéré naturellement ou obtenu par des procédés physiques (broyages, pressions...). L'eau et les minéraux sont aussi des ingrédients naturels.⁠
⁠
👉 Un ingrédient d'origine naturelle : est un ingrédient naturel transformé par des procédés chimiques (chimie verte ou pétrochimie) qui permettent de le combiner à une autre molécule naturelle ou à une molécule chimique.⁠
⁠
👉 Un ingrédient biologique : est un ingrédient naturel issu de l'agriculture biologique et conforme aux critères bio en vigueur dans le pays concerné. Il ne doit être combiné à aucun fragment pétrochimique. ⁠
⁠
Donc maintenant, dès que vous verrez ce type de mention sur un produit &quot;95% naturel&quot; ou &quot;95% d'ingrédients d'origine naturelle&quot;... Vous saurez à peu près ce que ça veut vraiment dire 👏 😊",Photo,,,"12/21/2020 02:19:21 AM"," ",470,470,0,491,491,0,14,6,6,1,1,347,329,0,0,10,0,0,0,0,0,0,0,0,0,0,8,2,,8,2,,,6,,,,6,,,1,,1,
447103548968697_1373209893024720,https://www.facebook.com/refyld/posts/1373209893024720,"Mais oui, enfin... La qualité à prix coûtant, qu'est-ce que ça veut dire ? Notre promesse ne serait-elle pas un peu biaisée ? Comment une entreprise qui se lance peut perdurer en travaillant à prix coûtant ? 👀⁠
⁠
On vous l'accorde, sur le papier, ça paraît complètement fou.🤔 Mais chez Refyld, nous sommes convaincus que le véritable changement se fera uniquement lorsque nous aurons tous.tes accès à une consommation responsable. Pour cela nous avons décidé de créer notre propre alternative. ⁠
⁠
Et cette alternative elle n'est pas née comme ça, d'un coup, sous la douche...💦 Non.⁠💡
⁠
Cela fait plus de 3 ans que nous nous sommes lancés dans l'entrepreneuriat, 3 ans que l'on teste, que l'on expérimente, que l'on apprend...Jusqu'à finir par trouver la bonne solution. Celle qui fonctionne parfaitement. Et cette solution, elle se nomme #Refyld.💛
⁠
D'ailleurs, nous sommes très bien entourés : un panel d'expertes et d'experts nous accompagne au quotidien (cc. @willa_off). 👀 📉 🔎

Alors pas d'inquiétude, le modèle Refyld, c'est du béton. Mais c'est surtout un modèle innovant, inclusif et juste. ✊
⁠
👉 Concrètement, lorsque l'on parle de prix coûtant, cela veut simplement dire que nous ne faisons pas de profit sur la vente de nos produits. C’est possible, grâce à notre modèle d’adhésion, car seuls les adhérents pourront avoir accès à notre site et à tous nos produits à prix coûtant. ⁠⁠
⁠
Pour pouvoir vous offrir des prix imbattables, nous contournons simplement les nombreux intermédiaires de la chaîne de distribution pour passer en direct des fabricants tout en assurant la qualité de nos produits au meilleur prix.⁠🌿
⁠
Tout est calculé pour que tout fonctionne parfaitement, des coûts engendrés de la fabrication à la livraison du produit, tout est pris en compte pour que tout le monde soit bien rémunéré et que vous puissiez avoir accès à des produits de qualité. ⁠

Refyld c'est un projet fou, oui, mais bien RÉEL...Surtout depuis vos nombreux soutiens sur Ulule.🤩 Et ce n'est que le début !",Photo,,,"12/18/2020 02:07:08 AM"," ",338,338,0,349,349,0,6,1,1,1,1,259,245,0,0,5,0,0,0,0,0,0,0,0,0,0,6,1,,6,1,,,1,,,,1,,,1,,1,
447103548968697_1370922836586759,https://www.facebook.com/refyld/posts/1370922836586759,"Avec des produits naturels, sains, fabriqués en France, à prix bas qui respectent l’humain et la Planète, il n’y a plus aucune raison que la consommation responsable ne soit pas accessible au plus grand nombre.⁠
⁠
👉 Notre objectif : libérer l'accès à la qualité. ⁠
⁠
Les produits naturels sont chers. C’est un fait. Ils sont bons pour notre santé, la planète, mais ils ne sont malheureusement accessibles qu’à une toute petite partie de la population. Et chez #Refyld, nous sommes convaincus d’une chose : 👉 la société pourra changer uniquement lorsque nous aurons TOUTES et TOUS accès à une consommation responsable. ⁠
⁠
Nous savons que nous ne battrons pas les grandes enseignes de supermarchés sur la guerre des prix. Mais nous les battrons sur notre rapport qualité/prix. ⁠
⁠
Parce que la réalité derrière les prix bas des supermarchés, c’est qu’il n'y a ni respect du producteurs, ni de la planète, ni de notre santé. ⁠
⁠
Nous voulons alors faire notre possible pour créer une alternative, bonne pour soi, comme pour la planète et pour le porte-monnaie. ⁠
⁠
Grâce à vos soutiens, Refyld verra le jour : et à l'avenir plus nous serons nombreux.ses, plus nous pourrons proposer des prix encore plus attractifs et une plus grande offre.⁠
⁠
Alors, même si notre campagne est terminée, continuez à faire passer le mot et on s’occupe du reste ! 💪 💛 🌍",Photo,,,"12/15/2020 12:41:22 AM"," ",385,385,0,411,411,0,12,5,5,0,0,300,285,0,0,9,0,0,0,0,0,0,0,0,0,0,7,1,,7,1,,2,3,,,2,3,,,,,,
447103548968697_1370124133333296,https://www.facebook.com/refyld/posts/1370124133333296,"La plupart des déchets plastiques retrouvés en mer, proviennent de nos emballages. Logique, puisque les emballages, c'est le cœur de l’industrie plastique. ⁠
⁠
En 2017, en Europe près de 40% du plastique brut est transformé en emballage. Le reste, c’est pour l’industrie automobile ou les matériaux de construction. Et tenez-vous bien, vous risquez de tomber : seulement 10 produits de la vie quotidienne à usage unique représentent 70% de tous les polluants rejetés en mer. ⁠
⁠
Sur le podium, vous pouvez applaudir : ⁠
👉 Les emballages alimentaires, ou de snack, éléments de pêche comme corde et cordelettes.⁠
⁠
👉 Les sacs plastiques entiers ou fragmentés, les fragments de plastique ou de polystyrène.⁠
⁠
👉 Enfin, les mégots de cigarette, les bouteilles plastiques et leur formidable bouchons.⁠
⁠
Trêve de bavardages… Comment fait-on pour résoudre cette affaire de plastique ?⁠
⁠
Et bien, on adapte son mode de vie à ses besoins, mais pas seulement. À ses valeurs aussi. Le monde est imparfait. Le sauver semble impossible, mais l’améliorer oui. ⁠
⁠
Alors, re-localisons nos achats, allons chez les petits producteurs, proposons nos propres contenants en alternatives des emballages plastique, utiliser des produits réutilisables et rechargeables à l'infini (cc. @refyld) afin de réduire sa consommation et sa production de déchets... ⁠
⁠
Et plus nous serons nombreux à adopter ces quelques petits gestes au quotidien, plus nous pourront influencer des modes de productions plus responsables. 

Alors, 2021 sera durable, ou ne sera pas. Vous en êtes ? 💪",Photo,,,"12/14/2020 02:20:08 AM"," ",336,336,0,350,350,0,6,1,1,0,0,277,264,0,0,6,0,0,0,0,0,0,0,0,0,0,5,,,5,,,,1,,,,1,,,,,,
447103548968697_1367830096896033,https://www.facebook.com/refyld/posts/1367830096896033,"Le très chouette média MilK Magazine parle de Refyld. Et nous sommes vraiment ravis de découvrir ce bel article, qui reprend la genèse de notre projet et explique parfaitement bien ce qu'est Refyld ! 

Pour le lire, c'est juste ici 👇
https://www.milkmagazine.net/refyld-a-fleur-de-peau/",Link,,,"12/11/2020 02:50:21 AM"," ",436,436,0,465,465,0,34,23,26,0,0,340,315,0,0,29,0,0,0,0,0,0,0,0,0,0,16,2,3,16,2,3,,6,19,,,6,20,,,,,
447103548968697_1367011360311240,https://www.facebook.com/refyld/posts/1367011360311240,"Debora, co-fondatrice de Refyld est passée hier midi dans l'émission La France Bouge de Europe 1 . 🌿

1 minute de pitch puis un rapide échange sur le modèle de Refyld, avec une approbation de de Maurice Levy, grand patron de Publicis Groupe.

Merci Charlotte Barriquand, Elisabeth Assayag Emmanuel Duteil Nathalie CARRE pour ce très bon échange.

Pour écouter notre passage, c'est ici à partir de 26 minutes 👇 👀
https://bit.ly/3oKFZxn",Link,,,"12/10/2020 02:14:56 AM"," ",498,498,0,562,562,0,18,11,13,0,0,418,362,0,0,14,0,0,0,0,0,0,0,0,0,0,10,2,3,12,2,3,,6,6,,,6,7,,,,,
447103548968697_1366154953730214,https://www.facebook.com/refyld/posts/1366154953730214,"🔔 H-15🔔⁠⠀
NOTRE CAMPAGNE SE TERMINE CE SOIR À 23H59.⁠ 💫⁠⠀
⁠⠀
Il reste un peu moins de 15 heures pour rejoindre l’aventure, alors voici un petit message solennel à toutes celles et ceux qui procrastinent 🔊 ⁠⠀
⁠⠀
1. Sachez qu'on vous comprend, mais l'adhésion à vie, c'est MAINTENANT ou JAMAIS.⁠⠀
2. Il ne faut jamais remettre au lendemain ce que l’on peut faire le jour même 😄⁠⠀
3. Adhérer sur #Ulule, c’est l’occasion de de faire des économies pour toute la vie. ⁠⠀
4. Vous pourrez avoir tous vos produits du quotidien à prix coûtant 😱 ⁠⠀
5. Plus on sera nombreux.ses, plus on pourra vraiment faire changer les choses. ⁠⠀
⁠⠀
ON COMPTE SUR VOUS 😘⁠⠀
Rejoignez l'aventure avant qu’il ne soit trop tard : https://fr.ulule.com/refyld/",Photo,,,"12/09/2020 12:44:09 AM"," ",483,483,0,499,499,0,22,18,24,0,0,338,314,0,0,12,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,3,10,8,,3,12,9,,,,,
447103548968697_1365702760442100,https://www.facebook.com/refyld/posts/1365702760442100,"H-24 👀 Oui vous avez bien lu, il ne reste plus que 24 petites heures pour participer à notre campagne Ulule et bénéficier de votre adhésion à vie. 🥳

Alors avis à toutes celles et ceux qui aiment procrastiner : l'adhésion à vie, c'est MAINTENANT ou jamais. 🙏 
https://fr.ulule.com/refyld/",Link,,,"12/08/2020 10:44:01 AM"," ",327,327,0,372,372,0,12,8,8,0,0,272,238,0,0,10,0,0,0,0,0,0,0,0,0,0,4,3,,4,3,,,1,7,,,1,7,,,,,
