"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
447103548968697_1441350306210678,https://www.facebook.com/refyld/posts/1441350306210678,"💫 AIDEZ NOUS À VALIDER LES ÉTIQUETTES DES PRODUITS REFYLD 💫

Nous avons 2 options de : texte / typographie.
L'idée ? Pour chaque option nous avons besoin de connaitre votre avis. Pour cela, en commentaire vous pouvez nous mentionner chaque option avec l'étiquette qui vous plaît le plus.

👉 Exemple : 
Option 1 : étiquette 1
Option 2 : étiquette 2

Maintenant, c'est à vous 😍",Photo,,,"03/24/2021 01:51:07 AM"," ",279,279,0,294,294,0,23,18,25,1,1,246,233,0,0,22,0,0,0,0,0,0,0,0,0,0,4,5,,4,5,,13,6,,17,8,,1,,1,
447103548968697_1440684756277233,https://www.facebook.com/refyld/photos/a.454809411531444/1440684756277233/?type=3,"PETIT RÉCAP DES NEWS À SAVOIR :

👉 Première news : La production des produits a bien avancé la semaine dernière, nous allons pouvoir vous donner LA date exacte du lancement de notre eshop très prochainement. 😍

👉 Seconde news : Cette semaine nous allons avoir besoin de VOUS pour terminer les étiquettes de nos produits. On vous partagera un post sous lequel vous pourrez mentionner en commentaire votre étiquette préférée. 💛

👉 Troisième et dernière news à savoir : l'équipe Refyld va continuer de s'agrandir dans les semaines à venir. N'hésitez pas à nous envoyer vos CV pour des #stages en : acquisition, supply chain, produit...  à debora@refyld.com 👀

👉 Bonus : grâce à tous vos premiers retours, nous avons mis à jour notre site internet. On espère que les ajustements vous plairont. Nous sommes encore en train de nous améliorer alors n'hésitez pas à nous envoyer vos retours. 💪",Photo,,,"03/23/2021 01:20:08 AM"," ",214,214,0,220,220,0,14,5,5,0,0,181,177,0,0,13,0,0,0,0,0,0,0,0,0,0,10,,1,10,,1,5,,,5,,,,,,
447103548968697_1435465533465822,https://www.facebook.com/refyld/photos/a.454809411531444/1435465533465822/?type=3,"✨LA SORTIE DES PREMIERS PRODUITS REFYLD ✨

Nous avons un peu de retard dans le processus de fabrication des produits et nous nous en excusons sincèrement. ⁠⁠💛 

✅ On fait tout notre possible pour une mise en ligne des premiers produits dans quelques semaines, courant avril. On y est presque 💪  

⁠⁠✅ On garde à l'esprit qu'il vaut mieux avoir deux mois de retard et vous proposer des produits de qualité pendant les dix prochaines années, que sortir nos premiers produits à la va vite et s'écrouler l'année prochaine comme un château de sable. 🧐

✅ Parce que c'est compliqué de vouloir aller vite et de faire bien en même temps. Car faire les choses bien, ça prend toujours un peu plus de temps. 🌱⁠⁠
⁠⁠",Photo,,,"03/16/2021 01:30:20 AM"," ",457,457,0,463,463,0,33,18,21,1,1,358,355,0,0,29,0,0,0,0,0,0,0,0,0,0,15,4,1,15,4,1,18,,,21,,,1,,1,
447103548968697_1434625816883127,https://www.facebook.com/refyld/photos/a.454809411531444/1434625816883127/?type=3,"Aujourd’hui, tout le monde sait qu’il faut changer sa consommation : manger plus sain, plus varié, choisir des produits meilleurs pour la planète et pour sa santé... Mais personne ne parle d’argent. ⁠
⁠
Pourtant, pour 1 français.e sur 2, les alternatives éco-responsables restent trop cher. ⁠
⁠
Alors, pour que chacun.e y est accès, chez Refyld nous vendons tous nos produits à prix coûtant. ⁠
⁠
Notre volonté ? Libérer l'accès à la qualité. 💪",Photo,,,"03/15/2021 03:00:32 AM"," ",411,411,0,414,414,0,21,10,10,1,1,344,346,0,0,20,0,0,0,0,0,0,0,0,0,0,9,1,1,9,1,1,9,1,,9,1,,1,,1,
447103548968697_1432304140448628,https://www.facebook.com/refyld/posts/1432304140448628,"FEMMES ENTREPRENEURES 🚀

Nous sommes ravis de rejoindre la nouvelle promotion #FemmesEntrepreneures 2021 du Le Village by CA Paris parce que, le pouvoir des femmes ne doit-il pas être clamé chaque jour de l’année, pour avoir un véritable écho et pas uniquement le 8 mars ? 💪

#womenempowerment #startups #innovation #digital",Photo,,,"03/12/2021 12:11:57 AM"," ",295,295,0,302,302,0,10,7,11,1,1,252,245,0,0,9,0,0,0,0,0,0,0,0,0,0,7,2,,8,2,,7,,,11,,,1,,1,
447103548968697_1431661153846260,https://www.facebook.com/refyld/photos/a.454809411531444/1431661153846260/?type=3,"Chaque année, ce sont plus d'un milliard de tubes de dentifrice qui ne peuvent être recyclés. ⁠
⁠
Alors, on se dit : &quot;pourquoi ne pas passer à une alternative plus responsable&quot;. Mais on se questionne sur l'efficacité, la composition, le goût... Et surtout le PRIX.⁠
⁠
Même si nous ne sommes pas parfaits, (qui peut se venter de l'être?), nous faisons notre possible pour rendre la qualité accessible à tou.te.s. 💪⁠
⁠
Prêt.e à passer le cap avec nous ? ✨⁠
⁠",Photo,,,"03/11/2021 02:35:08 AM"," ",461,461,0,467,467,0,25,14,20,1,1,394,393,0,0,25,0,0,0,0,0,0,0,0,0,0,15,1,1,16,1,1,14,1,,19,1,,1,,1,
447103548968697_1427626730916369,https://www.facebook.com/refyld/posts/1427626730916369,"💫 LE ZERO WASTE GUIDE EST ENFIN DISPO 💫⁠
⁠
Rédigé avec passion et sincérité, notre Zero Waste Guide est dispo en téléchargement gratuit. ⁠
⁠
Nous avons alors voulu créer un support qui puisse vous aider à vivre un style de vie sans déchet, tout en ayant un sentiment de compréhension et de progrès (oui, sinon ce n'est pas drôle). ⁠
⁠
NOTRE VOLONTÉ ? REMETTRE EN QUESTION LA NOTION MÊME DE JETABLE AU QUOTIDIEN.⁠
⁠
Au programme de ce guide : ⁠
📖 30 pages pour vous accompagner au quotidien⁠
💡3 outils développés par nos soins pour suivre votre progression : le calendrier, le journal des éléments inconnus, le chek-up⁠
👀 Des conseils pour vous éviter le casse-tête⁠
🌱Des ressources pour aller encore plus (loin)⁠
⁠
Si vous êtes déjà abonné.e à notre newsletter, vous avez dû le recevoir dans la newsletter de lundi dernier (si ce n'est pas le cas, jeter un coup d'oeil à vos spams). 😊⁠
⁠
Sinon pour le recevoir il vous suffit simplement vous rendre l'article ci-dessous 🙌⁠
⁠
On espère que ce Guide vous plaira. N'hésitez pas à nous faire des retours ou à nous envoyer des photos ✨",Link,,,"03/05/2021 02:28:45 AM"," ",291,291,0,307,307,0,10,9,9,1,1,245,233,0,0,10,0,0,0,0,0,0,0,0,0,0,2,,,3,,1,2,,7,2,,7,1,,1,
447103548968697_1426930167652692,https://www.facebook.com/refyld/posts/1426930167652692,"💫 Une semaine évènement autour du projet Refyld 💫⁠⁠

Le replay de notre second live est dispo ci-dessous. Dans ce live Debora, vous parle des premiers produits Refyld, de la fabrication, de date de sortie, du label Ecocert et des news concernant les futurs produits. 😊

https://www.instagram.com/tv/CL9Ks_eirql/",,,,"03/04/2021 02:14:24 AM"," ",293,293,0,308,308,0,12,9,9,1,1,263,252,0,0,12,0,0,0,0,0,0,0,0,0,0,5,,,5,,,3,,6,3,,6,1,,1,
447103548968697_1426295807716128,https://www.facebook.com/refyld/posts/1426295807716128,"💫 Une semaine évènement autour du projet Refyld 💫⁠⁠
⁠⁠
L'idée ? Répondre à toutes vos questions à travers des talks inspirants. ⁠⁠
⁠⁠
Et voici le replay de notre premier live de mardi soir. On a parlé de notre parcours avant de lancer Refyld et de ce qui nous anime au quotidien 👉 ⁠⁠https://www.instagram.com/tv/CL7OWrOiHc3/ 😊",,,,"03/03/2021 02:17:02 AM"," ",385,385,0,400,400,0,28,16,19,1,1,350,340,0,0,26,0,0,0,0,0,0,0,0,0,0,13,1,,13,1,,6,,12,6,,13,1,,1,
447103548968697_1425633014449074,https://www.facebook.com/refyld/posts/1425633014449074,"Bientôt en ligne - Les premiers produits Refyld 💥⁠⁠
⁠⁠
💡 6 produits d'hygiène : shampoing, après-shampoing, gel douche, savon, dentifrice, brosse à dents⁠⁠
🙌 Sains &amp; durables⁠⁠
🇫🇷 Fabriqués en France⁠⁠
✊ Sans ingrédients chimiques nocifs⁠⁠
🌱 Biologiques, naturels et vegan⁠⁠
♻️ Dans des flacons en verre &amp; rechargeables à l'infini⁠⁠
⁠⁠
On est à fond pour que nos premiers produits soient en ligne le plus vite possible. On a hâte. Et vous ? 😍",Photo,,,"03/02/2021 02:31:33 AM"," ",464,464,0,487,487,0,23,4,4,1,1,356,347,0,0,22,0,0,0,0,0,0,0,0,0,0,20,,2,20,,2,3,1,,3,1,,1,,1,
