Date,"Impressions","Reach","Followers"
"March 26, 2021",21,17,7042
"March 25, 2021",8612,4869,7028
"March 24, 2021",12135,6410,7027
"March 23, 2021",12722,6016,7016
"March 22, 2021",13408,7680,6983
"March 21, 2021",14425,10909,6960
"March 20, 2021",6370,4946,6953
"March 19, 2021",4549,2441,6947
"March 18, 2021",6909,4880,6940
"March 17, 2021",8011,4560,6931
"March 16, 2021",7229,4578,6922
"March 15, 2021",9863,3880,6880
"March 14, 2021",4644,2328,6882
"March 13, 2021",498,288,6887
"March 12, 2021",3569,1739,6879
"March 11, 2021",5632,2057,6876
"March 10, 2021",4052,1578,6860
"March 9, 2021",4238,1264,6838
"March 8, 2021",2980,1601,6833
"March 7, 2021",3588,1782,6838
"March 6, 2021",1508,576,6832
"March 5, 2021",4375,1630,6828
"March 4, 2021",6240,2204,6824
"March 3, 2021",6426,2933,6805
"March 2, 2021",3967,1501,6780
"March 1, 2021",3707,1331,6762
"February 28, 2021",1971,1476,6751
"February 27, 2021",4556,1364,6723
"February 26, 2021",6087,2942,6577
"February 25, 2021",2502,788,6576
"February 24, 2021",2497,1452,6578
"February 23, 2021",2619,1495,6574
"February 22, 2021",5115,2525,6569
"February 21, 2021",1942,1483,6568
"February 20, 2021",996,407,6561
"February 19, 2021",5812,1675,6559
"February 18, 2021",7496,2158,6557
"February 17, 2021",5271,1639,6553
"February 16, 2021",8853,1491,6554
"February 15, 2021",2988,1558,6554
"February 14, 2021",4224,1345,6550
"February 13, 2021",919,535,6551
"February 12, 2021",4418,2231,6551
"February 11, 2021",5277,2723,6549
"February 10, 2021",378,211,6553
"February 9, 2021",4866,1744,6552
"February 8, 2021",4768,1765,6554
"February 7, 2021",1899,1637,6559
"February 6, 2021",749,239,6558
"February 5, 2021",4201,912,6561
"February 4, 2021",7119,1294,6555
"February 3, 2021",4211,1617,6555
"February 2, 2021",3858,1558,6551
"February 1, 2021",5030,1702,6553
"January 31, 2021",1570,1297,6557
"January 30, 2021",314,177,6556
"January 29, 2021",5310,1034,6560
"January 28, 2021",5085,2276,6551
"January 27, 2021",635,278,6550
"January 26, 2021",3388,2068,6550
"January 25, 2021",8333,1808,6553
"January 24, 2021",3769,1770,6551
"January 23, 2021",2884,1573,6547
"January 22, 2021",2114,993,6537
"January 21, 2021",4852,1845,6532
"January 20, 2021",5243,1650,6514
"January 19, 2021",12517,1739,6512
"January 18, 2021",3048,2082,6510
"January 17, 2021",2716,2011,6504
"January 16, 2021",2160,1294,6498
"January 15, 2021",6131,2038,6501
"January 14, 2021",4988,1630,6451
"January 13, 2021",4450,1742,6368
"January 12, 2021",4554,1852,6374
"January 11, 2021",8375,2335,6376
"January 10, 2021",2083,1599,6379
"January 9, 2021",599,430,6386
"January 8, 2021",3180,1646,6388
"January 7, 2021",7887,2325,6394
"January 6, 2021",3166,1593,6396
"January 5, 2021",4016,2003,6402
"January 4, 2021",2821,1675,6405
"January 3, 2021",1857,1434,6402
"January 2, 2021",664,396,6405
"January 1, 2021",2346,1877,6420
"December 31, 2020",1205,420,6423
"December 30, 2020",5273,1634,6435
"December 29, 2020",3604,2738,6445
"December 28, 2020",2283,1967,6448
"December 27, 2020",2195,1865,6450
"December 26, 2020",,,
